title,company,url,salary,location,work_model,skills_listed,experience_found,tech_keywords_mentioned,education_hints,language_hints
"2+ years Fullstack Developer (PHP/Laravel, ReactJS)",The One Digi Corp,https://itviec.com/it-jobs/2-years-fullstack-developer-php-laravel-reactjs-the-one-digi-corp-4353,Not specified,"40 Thiên Phước, Phường 9, Tan Binh, Ho Chi Minh",At office,"Laravel, ReactJS, PHP","At least
2 years (context: ...rks such as NextJS, React.... At least 2 years of hands-on experience. Stron...)","NextJS, HTML, CSS, JavaScript, AJAX, MySQL, OOP, Security","Bachelor, Degree, University, Computer Science, IT",
"Senior Java Developer (J2EE, Spring)",Mcredit - Công ty Tài chính TNHH MB Shinsei,https://itviec.com/it-jobs/senior-java-developer-j2ee-spring-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-4944,Not specified,"Tầng 9,10,11,12 Tòa nhà MB Bank, số 21 Cát Linh - Phường Cát Linh, Dong Da, Ha Noi",At office,"Java, J2EE, Spring","5 năm kinh nghiệm (context: ...h IT, Khoa học máy tính Có từ 5 năm kinh nghiệm tham gia các dự án trên nền t...)","Java, J2EE, Spring, Struts, Oracle, SOAP, Web Service","Đại học, Cao đẳng, Khoa học máy tính, IT","Tiếng Anh, Đọc, Giao tiếp"
"Senior Backend (C#, ASP.NET, .NET Core)",Joblogic,https://itviec.com/it-jobs/senior-backend-c-asp-net-net-core-joblogic-3051,Not specified,"246 Cong Quynh, Pham Ngu Lao Ward, District 1, Ho Chi Minh",At office,".NET, ASP.NET, C#",6+ years/năm,".NET, C#, .NET Core, SQL, MySQL, SQL Server, MongoDB, API, Microservices, Git, Jira, Agile, OOP, MVC","Bachelor, Information Technology","English, Proficient, Intermediate, Communication, Write"
Senior Backend Engineer (Java/ Spring Boot),One Mount Group,https://itviec.com/it-jobs/senior-backend-engineer-java-spring-boot-one-mount-group-1509,Not specified,"Tower 2 (T26) Times City, 458 Minh Khai, Hai Ba Trung, Ha Noi",At office,"Java, SQL, Spring",Minimum 5 years (context: ...ds Your skills and experience Minimum 5 years of hands-on development exper...),"Java, Spring, Spring Boot, SQL, MySQL, PostgreSQL, NoSQL, MongoDB, Redis, Microservices, Cloud, Docker, Kubernetes, Agile, Scrum, Data Structures, Algorithms, Kafka, Security",,
"Mid/Senior Automation Tester (Selenium, Appium, QA QC)",Joblogic,https://itviec.com/it-jobs/mid-senior-automation-tester-selenium-appium-qa-qc-joblogic-0829,Not specified,"246 Cong Quynh, Pham Ngu Lao Ward, District 1, Ho Chi Minh",At office,"Tester, QA QC, Automation Test",,"Java, .NET, C#, Python, SQL, SQL Server, MongoDB, API, Web Service, WebAPI, Azure, Git, Selenium, Appium, Jmeter, Postman, Agile, OOP, QC, Performance Testing, Security Testing, Security","Bachelor, Information Technology","English, Intermediate, Communication"
QC/Tester (SQL),Innotech Vietnam Corporation,https://itviec.com/it-jobs/qc-tester-sql-innotech-vietnam-corporation-5446,Not specified,"District 4, District 4, Ho Chi Minh",At office,"Tester, QA QC, SQL",At least 3 years (context: ...tail and multi-tasking skills At least 3 years as Test senior or above in a ...),"SQL, Performance Testing, Load Testing","Bachelor, Degree, Computer Science",English
Mobile Developer (Senior/Leader) - IOS/Android/Flutter,eUp Group,https://itviec.com/it-jobs/mobile-developer-senior-leader-eup-group-5205,Not specified,"Toà nhà Toyota Thanh Xuân - 315 Trường Chinh, Thanh Xuan, Ha Noi",At office,"iOS, Flutter, Android","4 năm kinh nghiệm (context: ...NTT hoặc liên quan. Tối thiểu 4 năm kinh nghiệm phát triển mobile, trong đó í...), Tối thiểu 4 năm (context: ...ên ngành CNTT hoặc liên quan. Tối thiểu 4 năm kinh nghiệm phát triển mobile...)","Java, Swift, iOS, Kotlin, Android, Flutter, CI/CD, PM","Đại học, CNTT, Kỹ thuật",Giao tiếp
Tester (Manual/ Automation),Mcredit - Công ty Tài chính TNHH MB Shinsei,https://itviec.com/it-jobs/tester-manual-automation-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-0117,Not specified,"Tầng 9,10,11,12 Tòa nhà MB Bank, số 21 Cát Linh - Phường Cát Linh, Dong Da, Ha Noi",At office,"Tester, Java, Automation Test",,"SQL, MySQL, Oracle, Selenium, Jmeter, SOAPUI, Automation Test",,Viết
Sr Front-end Engineer (ReactJS/ Javascript/ Typecript),Brarista,https://itviec.com/it-jobs/senior-front-end-engineer-pt-brarista-5027,Not specified,"., Thu Duc City, Ho Chi Minh",Hybrid,"JavaScript, TypeScript, ReactJS",,"Python, JavaScript, TypeScript, MongoDB, API, GCP, Cloud, CI/CD, LLM, UI, E-commerce",Engineering,Communication
"Embedded Project Management (MCU, C++)",Samsung Electronics HCMC CE Complex,https://itviec.com/it-jobs/embedded-project-management-mcu-c-samsung-electronics-hcmc-ce-complex-2047,Not specified,"Lot I-11, D2 Road, Saigon Hi-tech Park, Tang Nhon Phu B Ward, Thu Duc City, Ho Chi Minh",At office,"Project Manager, C++, Embedded",,"Linux, Embedded, C++, MCU, UART, SPI, I2C, Project Manager","Bachelor, Degree, Computer Science, IT, Engineering","English, Communication"
Senior Golang Developer (MPC Focus),Regen Technology Limited,https://itviec.com/it-jobs/senior-golang-developer-mpc-focus-regen-technology-limited-3310,Not specified,Remote,Remote,"PostgreSql, Golang, Software Architect",,"Go, REST, Microservices, gRPC, Git, CI/CD, Agile, Cryptography, MPC",,
2+ years UI-UX Designer (Figma),The One Digi Corp,https://itviec.com/it-jobs/2-years-ui-ux-designer-figma-the-one-digi-corp-3200,Not specified,"40 Thiên Phước, Phường 9, Tan Binh, Ho Chi Minh",At office,"UI-UX, Figma, Designer","2 năm kinh nghiệm (context: ...ngành liên quan (bắt buộc) Có 2 năm kinh nghiệm thiết kế web/app, đặc biệt là...)","Figma, Adobe XD, Photoshop, Illustrator, UI, UX, UI/UX, Wireframe, Prototype",Đại học,Giao tiếp
Technical Content Creator (Software & Documentation),i3 DVR International,https://itviec.com/it-jobs/technical-content-creator-software-marketing-i3-dvr-international-3021,Not specified,"30 Ấp Bắc Phường 13, Tan Binh, Ho Chi Minh",At office,"Agile, English, Designer","Minimum 2 years (context: ..., Journalism, or equivalent • Minimum 2 years of professional experience in...)","Figma, Canva, InDesign, Agile, Scrum, AI, QA, UX, Usability, WordPress","Bachelor, Degree, Computer Science, Engineering, Software Engineering","English, Proficient, Basic, Communication, Write"
Android App Developer (Java/Kotlin),CodeLink,https://itviec.com/it-jobs/android-app-developer-java-kotlin-codelink-3609,Not specified,"131 Xo Viet Nghe Tinh 17 Ward, Binh Thanh, Ho Chi Minh",At office,"Kotlin, Java, Android",4 years of experience (context: ...ience Must-Have: A minimum of 4 years of experience in Android development using ...),"Java, Kotlin, Android",,"English, Communication"
Senior/Principal Backend Engineer (Golang),GHN,https://itviec.com/it-jobs/senior-principal-backend-engineer-golang-ghn-5629,Not specified,"3rd Floor, Rivera Park Building, 7/28 Thanh Thai, District 10, Ho Chi Minh",At office,"Golang, Software Architect, NoSQL",,"Golang, NoSQL, Redis, REST, Web Service, Microservices, AWS, GCP, Cloud, Docker, K8S, Kafka, OLAP","Bachelor, Degree, Computer Science, Information Technology","Proficient, Communication"
Chuyên viên Admin hệ thống,MBAMC,https://itviec.com/it-jobs/chuyen-vien-admin-he-thong-mbamc-5632,Not specified,"Tòa nhà MB, tầng 08, số 03 Liễu Giai, phường Liễu Giai, Ba Dinh, Ha Noi",At office,"Project Manager, IT Support",01 năm kinh nghiệm (context: ...ng ưu tiên chuyên ngành CNTT. 01 năm kinh nghiệm tại vị trí tương đương. Why y...),,"Bằng, Cao đẳng, CNTT",
"iOS Developer (Objective C, Swift)",VNPAY,https://itviec.com/it-jobs/ios-developer-objective-c-swift-vnpay-0828,Not specified,"22  Láng Hạ, Dong Da, Ha Noi",At office,"Objective C, iOS, Swift","6 tháng kinh nghiệm (context: ... (NIIT, Aptech) trở lên Có từ 6 tháng kinh nghiệm trở lên Hiểu biết về xCode, S...)","Swift, iOS, REST","NIIT, Aptech",Giao tiếp
"Java Developer (Da Nang, HCMC)",mgm technology partners Vietnam,https://itviec.com/it-jobs/java-developer-da-nang-hcmc-mgm-technology-partners-vietnam-5937,Not specified,"195A Hai Bà Trưng, Võ Thị Sáu Ward, District 3, Ho Chi Minh",Hybrid,"Java, SQL, Spring",,"Java, J2EE, Spring, Kotlin, SQL, Elasticsearch, Solr, Microservices, Git, Gradle, Maven, JUnit, Mockito, Agile","Degree, University, College, IT, Engineering","English, Proficient, Communication"
"Fullstack Developer (.NET, C#, JavaScript)",Công Ty Cổ Phần Vietourist Holdings,https://itviec.com/it-jobs/fullstack-developer-net-c-javascript-cong-ty-co-phan-vietourist-holdings-3742,Not specified,"242 Trần Hưng Đạo, Phường Nguyễn Cư Trinh, District 1, Ho Chi Minh",At office,".NET, Team Leader, JavaScript",03 năm kinh nghiệm (context: ...and experience Yêu cầu: Có từ 03 năm kinh nghiệm làm việc với vai trò Fullstac...),".NET, C#, .NET Core, VB.NET, DevExpress, HTML, CSS, JavaScript, SQL, SQL Server, API, Windows Server, Git, AI, Team Leader",,Viết
Bridge Engineer (BrSE/Japanese/Project Manager/.NET/C#),IVS,https://itviec.com/it-jobs/bridge-engineer-brse-japanese-project-manager-net-c-ivs-1117,Not specified,"180 - 182 Lý Chính Thắng, District 3, Ho Chi Minh",At office,"Project Manager, Japanese, Bridge Engineer",2 năm kinh nghiệm (context: ...độ tuổi từ 24-35 tuổi. Có từ 2 năm kinh nghiệm ở vị trí BrSE. Hiểu biết về l...),".NET, C#, BrSE",IT,"Tiếng Nhật, N2"
